card_number,expire,phone,status,balance
1234 5678 0987 6543,34/67,+998 12 345 67 89,active,1234567890.00
1234 5678 9009 8765,12/98,+998 97 455 99 95,active,12345678.00
8600 3340 5959 3574,02/25,+99899667092,inactive,563727530.59
8600 5721 1075 4541,12/28,973-52-48,expired,337733437.12
5614 7690 9805 2639,11/27,973-88-77,inactive,659156048.35
5614 6660 1762 4110,02/25,None,active,42654148.15
5614 5066 5876 4074,05/28,+998 99 973 75 45,active,607434032.38
8600 3270 4685 5304,12/24,+998 99 973 64 66,expired,651671644.33
5614 4109 5193 2290,11/27,+99899592088,active,451491060.60
4916 5644 6564 3237,10/27,+99899649055,inactive,512948631.55
4916 8381 3778 8673,06/24,973-77-97,inactive,652522627.98
8600 6644 2207 6927,10/27,973-11-66,active,764722176.63
4916 1220 2730 7302,12/25,+998 99 973 14 26,expired,839070397.92
4916 5234 0758 5492,02/27,+99899674725,inactive,758842965.61
5614 0348 4252 8735,08/26,+99899235880,active,389063304.87
8600 5931 3576 8530,08/25,+99899921298,inactive,709107676.57
8600 2877 4861 3551,02/24,+99899972778,active,1161253238.39
4916 8531 3728 3948,06/26,973-99-32,inactive,317297871.78
4916 1853 3791 0206,02/24,973-18-65,inactive,76597404.64
5614 0502 5218 7481,08/25,+99899879353,inactive,1083278967.74
5614 9634 4265 7934,07/28,973-54-76,expired,411092383.29
5614 8354 4555 1738,10/24,+99899338472,expired,391145895.85
8600 7638 8960 6968,09/26,973-59-11,expired,522048844.37
4916 2922 1491 1321,04/26,+998 99 973 56 22,expired,769858245.86
4916 1871 2521 2308,04/24,None,inactive,299257625.46
8600 3382 7507 3592,12/27,+998 99 973 83 52,active,33393688.57
8600 7765 3916 2562,01/24,+99899646221,active,516470963.88
4916 9768 7934 0640,11/25,None,active,902537953.31
5614 2535 6482 4946,11/25,+998 99 973 65 74,active,950151202.08
4916 0454 2388 3602,12/26,None,expired,789270470.40
8600 1303 2754 4450,08/24,+998 99 973 99 55,expired,1094945137.22
4916 6553 8704 8826,11/25,973-49-15,expired,1122284596.91
5614 9516 9661 3174,07/24,+99899523584,active,89611962.31
5614 4654 4861 8563,10/24,+99899969299,expired,1102560286.50
4916 5666 1742 4515,04/26,+99899674181,expired,1048640828.22
4916 9877 2973 5913,10/26,None,active,1107648261.33
8600 9600 7321 5255,03/24,+99899214699,inactive,49347528.55
5614 8001 8821 7707,04/27,None,active,728691426.15
4916 1155 8908 8633,11/25,+99899176723,active,1096786642.84
5614 5696 8290 3001,06/24,+998 99 973 47 74,active,1173406842.81
4916 9846 0311 6393,05/25,973-69-52,inactive,733485487.04
5614 1774 3758 3449,02/24,+998 99 973 64 71,expired,372457633.03
8600 0852 0217 9436,05/28,+998 99 973 25 91,inactive,279945210.34
5614 4992 8284 3300,11/24,None,active,621088547.42
5614 7362 4075 7860,02/28,+998 99 973 38 89,inactive,1003775122.69
4916 7025 1600 5770,05/27,+99899712832,active,381238027.22
4916 8688 8178 9916,04/28,973-24-42,inactive,525110486.15
5614 9640 3353 9606,03/26,None,expired,153764161.57
5614 6189 7921 3861,03/25,973-69-65,active,1116693064.06
5614 9674 1652 8989,11/24,+998 99 973 27 53,inactive,696555718.50
4916 4663 6953 7814,04/27,+99899583268,active,723004934.22
5614 7854 3063 5808,01/25,None,inactive,488279459.28
8600 2051 2210 5176,12/28,+998 99 973 12 92,inactive,584475979.03
4916 0239 9313 2502,09/27,None,active,1120151260.75
4916 0749 8367 4144,09/25,+99899719652,active,943216326.93
5614 9317 1863 7583,11/26,None,active,321864333.57
5614 8178 2121 0345,03/27,+998 99 973 75 67,active,1182259309.53
5614 5830 1972 6738,08/27,+99899877970,expired,710840611.84
5614 8743 0083 9383,10/27,None,expired,184897755.14
5614 6021 0536 5563,11/26,+99899847572,expired,926757532.13
4916 7820 8989 7241,12/26,+99899541555,expired,360984025.35
4916 6188 7010 0736,09/28,+99899369910,expired,101119837.20
4916 3635 8148 5544,04/25,+998 99 973 59 99,active,126704544.00
4916 1453 8465 7969,10/25,973-22-85,inactive,447843952.97
5614 6277 8542 5841,07/24,None,active,940563158.33
8600 8605 0639 2186,07/24,None,inactive,178444554.09
5614 4009 4932 0658,02/24,973-51-77,expired,308214315.76
4916 4130 3431 5184,09/26,+998 99 973 99 69,active,801664334.88
8600 0323 3722 8043,04/25,None,expired,561484828.82
4916 8759 3517 7410,12/28,None,active,965704069.01
8600 9641 2169 9999,05/26,+998 99 973 18 69,inactive,260115985.44
5614 8657 3080 9061,05/27,+998 99 973 70 47,inactive,902819451.42
4916 7397 7498 2407,12/25,None,inactive,1100434080.67
4916 6422 5970 1245,10/27,None,inactive,133171031.93
8600 6180 5723 9366,08/27,+99899998840,active,874978546.20
4916 9933 3641 9974,02/27,None,inactive,488488520.01
8600 0077 0363 0592,10/25,+99899521714,inactive,763384025.26
8600 5147 2102 1076,05/24,None,active,621574500.85
4916 3939 6596 1315,07/28,973-20-68,expired,5281897.24
5614 8008 3914 9747,02/27,973-67-84,inactive,334332607.87
4916 7731 5869 0575,10/26,+998 99 973 91 87,inactive,411693239.56
4916 2009 8830 1884,01/25,973-53-43,inactive,493109112.21
4916 8933 2668 9901,10/26,973-16-26,active,54997146.07
5614 7716 9405 4803,05/26,+99899264893,expired,712735521.04
